urun;Sutun_3;Sutun_4;Sutun_5
Falafel Couscous;1;;
;1;ince bulgur;94.0
;2;Karışık Paprika (küp);34.0
;3;yağ;10.0
;4;d. Soğan;9.0
;5;kuru domates;9.0
;6;maydanoz;1.0
;7;d. Maydanoz;4.0
;8;limon suyu;3.0
;9;nane;5.0
;10;tuz;1.0
;11;kimyon;1.0
;;Toplam 1;170.0
;;Toplam Falafel Couscous;170.0
akordionKapa;;;
Kana Curry Pasta;1;;
;1;makarna;130.0
;2;köri sosu;30.0
;3;tavuk küp;35.0
;;Toplam 1;195.0
;;Toplam Kana Curry Pasta;195.0
akordionKapa;;;
Kana Pesto Mozzarella;1;;
;1;makarna;130.0
;2;tavuk küp;30.0
;3;yeşil pesto;25.0
;;Toplam 1;185.0
;;Toplam Kana Pesto Mozzarella;185.0
akordionKapa;;;
Kreikkalainen Pastasalaatti;1;;
;1;makarna;156.0
;2;küp peynir;31.0
;3;Karışık Paprika (şerit);16.0
;4;dilim zeytin;10.0
;5;yağ;10.0
;6;tuz;1.0
;7;meksika baharat;1.0
;10;Cacık (Salatasız);50.0
;;Toplam 1;275.0
;;Toplam Kreikkalainen Pastasalaatti;275.0
akordionKapa;;;
