urun;Sutun_3;Sutun_4;Sutun_5
Caesar;0;;
;1;Sezar sos;3.63
;2;tavuk şerit;4.84
;;Toplam 1;8.47
;x;Iceberg;3.993
;;lahana;2.42
;;Toplam 2;6.413
;x;Tortilla grill;11.132
;;Toplam 3;11.132
;;Toplam Caesar;26.015
akordionKapa;;;
Döner;0;;
;1;et döner;1.26
;2;Görans Kebab sosu;720.0
;3;yoğurt;459.0
;4;mayonez;229.0
;5;dereotu;18.0
;6;tuz;5.0
;7;yağ;9.0
;;Toplam 1;2.7
;x;Iceberg;1.188
;;lahana;720.0
;;Toplam 2;1.908
;x;Tortilla grill;3.312
;;Toplam 3;3.312
;;Toplam Döner;7.92
akordionKapa;;;
Gyros;0;;
;1;cacık;1.88
;2;gyros;1.88
;3;;1.081
;;;4.841
;x;Iceberg;705.0
;;;470.0
;;;1.175
;x;3;4.324
;;;4.324
akordionKapa;;;
Toplam Gyros;0;;
;;;10.34
Kana Pesto;1;1;460.0
;2;tavuk şerit;920.0
;;;1.38
;x;2;759.0
;;lahana;460.0
;;Toplam 2;1.219
;x;;2.116
akordionKapa;;;
;2;;
;;;2.116
Toplam Kana Pesto;;;4.715
Kasviscouscous;1;kasviscouscous;1.05
;;;1.05
;x;2;540.0
;;lahana;330.0
;;;870.0
;x;3;1.38
;;;1.38
Toplam Kasviscouscous;;;3.3
;1;Mexico Chicken;480.0
akordionKapa;;;
;0;;
;2;tavuk şerit;3.84
;3;mayonez;2.688
;4;yağ;192.0
;;Toplam 1;7.2
;x;Iceberg;3.168
;;lahana;1.92
;;Toplam 2;5.088
;x;Tortilla grill;8.832
;;Toplam 3;8.832
;;Toplam Mexico Chicken;21.12
akordionKapa;;;
Savu Lohi;0;;
;1;dereotu;45.0
;2;somon balığı kıyma;1.575
;3;mayonez;1.755
;;;3.375
;x;2;1.485
;;lahana;900.0
;;;2.385
;x;3;4.14
;;;4.14
Toplam Savu Lohi;;;9.9
;1;Tandoori;188.0
akordionKapa;;;
;0;;
;2;bal;141.0
;3;mayonez;1.316
;4;;1.88
;;;3.525
;x;Iceberg;1.551
;;;940.0
;;;2.491
;x;3;4.324
;;;4.324
akordionKapa;;;
Toplam Tandoori;0;;
;;;10.34
Tonnikala;1;aioli;1.26
;2;;1.68
;;;2.94
;x;Iceberg;1.386
;;;840.0
;;;2.226
;x;3;3.864
;;;3.864
akordionKapa;;;
Toplam Tonnikala;0;;
;;;9.03
Voner;1;chili humus;1.53
;2;vöner;2.04
;;Toplam 1;3.57
;x;Iceberg;1.938
;;lahana;1.02
;;Toplam 2;2.958
;x;Tortilla grill;4.692
;;Toplam 3;4.692
;;Toplam Voner;11.22
akordionKapa;;;
