urun;Sutun_3;Sutun_4;Sutun_5
Falafel Couscous;;;
;1;ince bulgur;5,236
;2;Karışık Paprika (küp);1,921
;3;yağ;571
;4;d. Soğan;476
;5;kuru domates;476
;6;maydanoz;80
;7;d. Maydanoz;208
;8;limon suyu;173
;9;nane;286
;10;tuz;67
;11;kimyon;29
;12;e211;8
;13;e202;8
;;Toplam 1;9,537
;;Toplam Falafel Couscous;0
akordionKapa;;;
Kana Curry Pasta;;;
;1;makarna;8,450
;2;köri sosu;1,950
;3;tavuk küp;2,275
;4;e211;9
;5;e202;9
;;Toplam 1;12,693
;;Toplam Kana Curry Pasta;12,693
akordionKapa;;;
Kana Pesto Mozzarella;;;
;1;makarna;4,420
;2;tavuk küp;1,020
;3;yeşil pesto;850
;4;e211;5
;5;e202;5
;;Toplam 1;6,299
;;Toplam Kana Pesto Mozzarella;0
akordionKapa;;;
Kreikkalainen Pastasalaatti;;;
;1;makarna;0
;2;küp peynir;0
;3;Karışık Paprika (şerit);0
;4;dilim zeytin;0
;5;yağ;0
;6;tuz;0
;7;meksika baharat;0
;8;e202;0
;9;e211;0
;10;Cacık (Salatasız);0
;;Toplam 1;0
;;Toplam Kreikkalainen Pastasalaatti;0
akordionKapa;;;
