urun;Sutun_3;Sutun_4;Sutun_5
Harkis Bulgur;1;;
;1;Bulgur;600.0
;2;yağ;56.0
;3;Köri;0.0
;4;Zerdecal;0.0
;5;tuz;5.0
;6;kuru domates;60.0
;7;Mercimek;60.0
;8;d. soya fasulyesi;60.0
;9;maydanoz;4.0
;10;d. Maydanoz;14.0
;;Toplam Harkis Bulgur;861.0
akordionKapa;;;
Kasvis Couscous;1;;
;1;ince bulgur;600.0
;2;Karışık Paprika (küp);150.0
;3;limon suyu;60.0
;4;Sambal oelek;50.0
;5;maydanoz;8.0
;6;d. Maydanoz;23.0
;7;d. Soğan;30.0
;8;yağ;30.0
;9;domates salçası;30.0
;10;meksika baharat;15.0
;11;kurutulmuş kırmızı biber;3.0
;;Toplam Kasvis Couscous;1000.0
akordionKapa;;;
Kikherne;1;;
;1;nohut;715.0
;2;Karışık Paprika (küp);100.0
;3;d. Soğan;100.0
;4;maydanoz;8.0
;5;d. Maydanoz;27.0
;6;limon suyu;30.0
;7;yağ;10.0
;8;sumak;5.0
;9;kurutulmuş kırmızı biber;5.0
;;Toplam Kikherne;1001.0
akordionKapa;;;
Quinoa Punasipuli salad;1;;
;1;quinoa;321.0
;2;inci arpa;307.0
;3;barbunya konserve;130.0
;4;kırmızı soğan turşu;81.0
;5;kuru domates;75.0
;6;maydanoz;10.0
;7;d. Maydanoz;30.0
;8;limon suyu;30.0
;9;Vinaigrette citrus;17.0
;;Toplam Quinoa Punasipuli salad;1001.0
akordionKapa;;;
Quinoa salad (HOK);1;;
;1;quinoa;328.0
;2;inci arpa;354.0
;3;barbunya konserve;141.0
;4;kuru domates;82.0
;5;maydanoz;24.0
;6;d. Maydanoz;20.0
;7;Vinaigrette citrus;51.0
;;Toplam Quinoa salad (HOK);1000.0
akordionKapa;;;
Speltti Helmi;1;;
;1;inci arpa;665.0
;2;Karışık Paprika (küp);170.0
;3;kuru domates;30.0
;4;yağ;90.0
;5;sumak;10.0
;6;maydanoz;8.0
;7;d. Maydanoz;27.0
;;Toplam Speltti Helmi;1001.0
akordionKapa;;;
