urun;Sutun_3;Sutun_4;Sutun_5
Harkis Bulgur;3;;
;1;Bulgur;516.0
;2;yağ;48.0
;3;Köri;0.4
;4;Zerdecal;0.4
;5;tuz;4.0
;6;kuru domates;52.0
;7;Mercimek;52.0
;8;d. soya fasulyesi;52.0
;9;maydanoz;4.0
;10;d. Maydanoz;12.0
;Toplam Harkis Bulgur;;741.9
akordionKapa;;;
Kana ja Curry Pasta;12;;
;1;makarna;1536.0
;2;köri sosu;504.0
;3;tavuk küp;480.0
;4;d. havuç;264.0
;5;d. mısır;204.0
;6;d. bezelye;204.0
;7;yağ;93.6
;8;tuz;12.0
;Toplam Kana ja Curry Pasta;;3300.1
akordionKapa;;;
Kana Pasta Caesar;11;;
;1;makarna;1200.0
;2;tavuk küp;420.0
;3;Sezar sos;480.0
;Toplam Kana Pasta Caesar;;2103.3
akordionKapa;;;
Kana Pesto Pasta;11;;
;1;makarna;1980.0
;2;tavuk küp;657.6
;3;yeşil pesto;480.0
;4;Karışık Paprika (şerit);180.0
;Toplam Kana Pesto Pasta;;3299.8
akordionKapa;;;
Kasvis Couscous;19;;
;1;ince bulgur;3306.0
;2;Karışık Paprika (küp);825.0
;3;limon suyu;328.9
;4;Sambal oelek;280.0
;5;maydanoz;40.0
;6;d. Maydanoz;124.0
;7;d. Soğan;164.5
;8;yağ;164.5
;9;domates salçası;164.5
;10;meksika baharat;82.5
;11;kurutulmuş kırmızı biber;16.4
;Toplam Kasvis Couscous;;5499.4
akordionKapa;;;
Kreikka Salaatti;4;;
;1;makarna;623.1
;2;küp peynir;125.1
;3;Karışık Paprika (şerit);62.2
;4;dilim zeytin;41.8
;5;yağ;41.8
;6;tuz;3.3
;7;meksika baharat;2.1
;10;Cacık (Salatasız);200.0
;Toplam Kreikka Salaatti;;1100.0
akordionKapa;;;
Pesto Pasta;4;;
;1;makarna;620.4
;2;Kırmızı biber turşusu;165.0
;3;küp peynir;121.0
;4;yeşil pesto;99.0
;5;dilim zeytin;44.0
;6;yağ;44.0
;7;tuz;5.5
;Toplam Pesto Pasta;;1100.0
akordionKapa;;;
Tonnikala Pasta;3;;
;1;Ton Balığı;160.0
;2;makarna;600.0
;3;aioli;160.0
;4;d. mısır;60.0
;5;d. bezelye;60.0
;6;d. havuç;60.0
;Toplam Tonnikala Pasta;;1101.1
akordionKapa;;;
