urun;Sutun_2;Sutun_3;Sutun_4
Harkis Bulgur;;;
;1;Bulgur;0,0
;2;yağ;0,0
;3;Köri;0,0
;4;Zerdecal;0,0
;5;tuz;0,0
;6;kuru domates;0,0
;7;Mercimek;0,0
;8;d. soya fasulyesi;0,0
;9;maydanoz;0,0
;10;d. Maydanoz;0,0
;11;e211;0,0
;12;e202;0,0
;;Toplam Harkis Bulgur;0,0
akordionKapa;;;
Kana Bulgur;;;
;1;Bulgur;1.965,0
;2;yağ;180,0
;3;Köri;1,5
;4;Zerdecal;1,5
;5;tuz;15,0
;6;kuru domates;195,0
;7;Mercimek;195,0
;8;d. soya fasulyesi;195,0
;9;maydanoz;7,5
;10;d. Maydanoz;22,5
;11;nohut;450,0
;12;e211;2,1
;13;e202;2,1
;;Toplam Kana Bulgur;3.232,1
akordionKapa;;;
Kana ja Curry Pasta;;;
;1;makarna;3.968,0
;2;köri sosu;1.302,0
;3;tavuk küp;1.240,0
;4;d. havuç;682,0
;5;d. mısır;527,0
;6;d. bezelye;527,0
;7;yağ;241,8
;8;tuz;31,0
;9;e202;3,2
;10;e211;3,2
;;Toplam Kana ja Curry Pasta;8.525,3
akordionKapa;;;
Kana Pasta Caesar;;;
;1;makarna;6.800,0
;2;tavuk küp;2.380,0
;3;Sezar sos;2.720,0
;4;e211;9,4
;5;e202;9,4
;;Toplam Kana Pasta Caesar;11.918,7
akordionKapa;;;
Kana Pesto Pasta;;;
;1;makarna;3.300,0
;2;tavuk küp;1.096,0
;3;yeşil pesto;800,0
;4;Karışık Paprika (şerit);300,0
;5;e211;1,8
;6;e202;1,8
;;Toplam Kana Pesto Pasta;5.499,6
akordionKapa;;;
Kasvis Couscous;;;
;1;ince bulgur;0,0
;2;Karışık Paprika (küp);0,0
;3;limon suyu;0,0
;4;Sambal oelek;0,0
;5;maydanoz;0,0
;6;d. Maydanoz;0,0
;7;d. Soğan;0,0
;8;yağ;0,0
;9;domates salçası;0,0
;10;meksika baharat;0,0
;11;kurutulmuş kırmızı biber;0,0
;12;e202;0,0
;13;e211;0,0
;;Toplam Kasvis Couscous;0,0
akordionKapa;;;
Kikherne Kana;;;
;1;nohut;0,0
;2;Karışık Paprika (küp);0,0
;3;d. Soğan;0,0
;4;tavuk küp;0,0
;5;maydanoz;0,0
;6;d. Maydanoz;0,0
;7;limon suyu;0,0
;8;yağ;0,0
;9;sumak;0,0
;10;kurutulmuş kırmızı biber;0,0
;11;e211;0,0
;12;e202;0,0
;;Toplam Kikherne Kana;0,0
akordionKapa;;;
Kreikka Salaatti;;;
;1;makarna;623,1
;2;küp peynir;125,1
;3;Karışık Paprika (şerit);62,2
;4;dilim zeytin;41,8
;5;yağ;41,8
;6;tuz;3,3
;7;meksika baharat;2,1
;8;e202;0,3
;9;e211;0,3
;10;Cacık (Salatasız);200,0
;;Toplam Kreikka Salaatti;1.100,0
akordionKapa;;;
Minttu Couscous;;;
;1;ince bulgur;1.815,0
;2;Karışık Paprika (küp);666,0
;3;yağ;198,0
;4;d. Soğan;165,0
;5;kuru domates;165,0
;6;maydanoz;27,6
;7;d. Maydanoz;72,0
;8;limon suyu;60,0
;9;nane;99,0
;10;tuz;23,1
;11;kimyon;9,9
;12;e202;1,0
;13;e211;1,0
;;Toplam Minttu Couscous;3.302,6
akordionKapa;;;
Pesto Pasta;;;
;1;makarna;3.722,4
;2;Kırmızı biber turşusu;990,0
;3;küp peynir;726,0
;4;yeşil pesto;594,0
;5;dilim zeytin;264,0
;6;yağ;264,0
;7;tuz;33,0
;8;e211;3,3
;9;e202;3,3
;;Toplam Pesto Pasta;6.600,0
akordionKapa;;;
Spelttihelmi;;;
;1;inci arpa;0,0
;2;Karışık Paprika (küp);0,0
;3;kuru domates;0,0
;4;yağ;0,0
;5;sumak;0,0
;6;maydanoz;0,0
;7;d. Maydanoz;0,0
;8;e211;0,0
;9;e202;0,0
;;Toplam Spelttihelmi;0,0
akordionKapa;;;
Tonnikala Kvinoa;;;
;1;quinoa;0,0
;2;inci arpa;0,0
;3;barbunya konserve;0,0
;4;kırmızı soğan turşu;0,0
;5;kuru domates;0,0
;6;maydanoz;0,0
;7;d. Maydanoz;0,0
;8;limon suyu;0,0
;;lime soft;0,0
;9;Vinaigrette citrus;0,0
;10;e211;0,0
;11;e202;0,0
;;Toplam Tonnikala Kvinoa;0,0
akordionKapa;;;
Tonnikala Pasta;;;
;1;Ton Balığı;0,0
;2;makarna;0,0
;3;aioli;0,0
;4;d. mısır;0,0
;5;d. bezelye;0,0
;6;d. havuç;0,0
;7;e211;0,0
;8;e202;0,0
;;Toplam Tonnikala Pasta;0,0
akordionKapa;;;
