urun;Sutun_3;Sutun_4;Sutun_5
Harkis Bulgur;52;;
;1;Bulgur;6837.0
;2;yağ;636.0
;3;Köri;5.3
;4;Zerdecal;5.3
;5;tuz;53.0
;6;kuru domates;689.0
;7;Mercimek;689.0
;8;d. soya fasulyesi;689.0
;9;maydanoz;53.0
;10;d. Maydanoz;159.0
;;Toplam Harkis Bulgur;9830.2
akordionKapa;;;
Kana Bulgur;6;;
;1;Bulgur;917.0
;2;yağ;84.0
;3;Köri;0.7
;4;Zerdecal;0.7
;5;tuz;7.0
;6;kuru domates;91.0
;7;Mercimek;91.0
;8;d. soya fasulyesi;91.0
;9;maydanoz;3.5
;10;d. Maydanoz;10.5
;11;nohut;210.0
;;Toplam Kana Bulgur;1508.3
akordionKapa;;;
Kana ja Curry Pasta;12;;
;1;makarna;1536.0
;2;köri sosu;504.0
;3;tavuk küp;480.0
;4;d. havuç;264.0
;5;d. mısır;204.0
;6;d. bezelye;204.0
;7;yağ;93.6
;8;tuz;12.0
;;Toplam Kana ja Curry Pasta;3300.1
akordionKapa;;;
Kana Pasta Caesar;5;;
;1;makarna;600.0
;2;tavuk küp;210.0
;3;Sezar sos;240.0
;;Toplam Kana Pasta Caesar;1051.7
akordionKapa;;;
Kana Pesto Pasta;134;;
;1;makarna;22275.0
;2;tavuk küp;7398.0
;3;yeşil pesto;5400.0
;4;Karışık Paprika (şerit);2025.0
;;Toplam Kana Pesto Pasta;37122.5
akordionKapa;;;
Kasvis Couscous;6;;
;1;ince bulgur;1157.1
;2;Karışık Paprika (küp);288.8
;3;limon suyu;115.1
;4;Sambal oelek;98.0
;5;maydanoz;14.0
;6;d. Maydanoz;43.4
;7;d. Soğan;57.6
;8;yağ;57.6
;9;domates salçası;57.6
;10;meksika baharat;28.9
;11;kurutulmuş kırmızı biber;5.8
;;Toplam Kasvis Couscous;1924.8
akordionKapa;;;
Kikherne Kana;6;;
;1;nohut;1176.2
;2;Karışık Paprika (küp);164.5
;3;d. Soğan;164.5
;4;tavuk küp;280.0
;5;maydanoz;15.4
;6;d. Maydanoz;42.0
;7;limon suyu;49.4
;8;yağ;16.5
;9;sumak;8.2
;10;kurutulmuş kırmızı biber;8.2
;;Toplam Kikherne Kana;1926.8
akordionKapa;;;
Kreikka Salaatti;1;;
;1;makarna;155.8
;2;küp peynir;31.3
;3;Karışık Paprika (şerit);15.5
;4;dilim zeytin;10.4
;5;yağ;10.4
;6;tuz;0.8
;7;meksika baharat;0.5
;10;Cacık (Salatasız);50.0
;;Toplam Kreikka Salaatti;275.0
akordionKapa;;;
Minttu Couscous;12;;
;1;ince bulgur;1815.0
;2;Karışık Paprika (küp);666.0
;3;yağ;198.0
;4;d. Soğan;165.0
;5;kuru domates;165.0
;6;maydanoz;27.6
;7;d. Maydanoz;72.0
;8;limon suyu;60.0
;9;nane;99.0
;10;tuz;23.1
;11;kimyon;9.9
;;Toplam Minttu Couscous;3302.6
akordionKapa;;;
Pesto Pasta;5;;
;1;makarna;775.5
;2;Kırmızı biber turşusu;206.3
;3;küp peynir;151.3
;4;yeşil pesto;123.8
;5;dilim zeytin;55.0
;6;yağ;55.0
;7;tuz;6.9
;;Toplam Pesto Pasta;1375.0
akordionKapa;;;
Spelttihelmi;73;;
;1;inci arpa;13532.8
;2;Karışık Paprika (küp);3459.5
;3;kuru domates;610.5
;4;yağ;1628.0
;5;sumak;407.0
;6;maydanoz;192.4
;7;d. Maydanoz;518.0
;;Toplam Spelttihelmi;20368.5
akordionKapa;;;
Tonnikala Kvinoa;35;;
;1;quinoa;2160.0
;2;inci arpa;1980.0
;3;barbunya konserve;864.0
;4;kırmızı soğan turşu;540.0
;5;kuru domates;504.0
;6;maydanoz;90.0
;7;d. Maydanoz;306.0
;8;limon suyu;132.0
;;lime soft;12.0
;9;Vinaigrette citrus;72.0
;;Toplam Tonnikala Kvinoa;6669.9
akordionKapa;;;
Tonnikala Pasta;11;;
;1;Ton Balığı;480.0
;2;makarna;1800.0
;3;aioli;480.0
;4;d. mısır;180.0
;5;d. bezelye;180.0
;6;d. havuç;180.0
;;Toplam Tonnikala Pasta;3303.3
akordionKapa;;;
