urun;Sutun_3;Sutun_4;Sutun_5
Harkis Bulgur;0;;
;1;Bulgur;5.805
;2;yağ;5400.0
;3;Köri;45.0
;4;Zerdecal;45.0
;5;tuz;450.0
;6;kuru domates;5850.0
;7;Mercimek;5850.0
;8;d. soya fasulyesi;5850.0
;9;maydanoz;450.0
;10;d. Maydanoz;1350.0
;;Toplam Harkis Bulgur;8.3464
akordionKapa;;;
Kana ja Curry Pasta;0;;
;1;makarna;2.944
;2;köri sosu;9660.0
;3;tavuk küp;9200.0
;4;d. havuç;5060.0
;5;d. mısır;3910.0
;6;d. bezelye;3910.0
;7;yağ;1794.0
;8;tuz;230.0
;;Toplam Kana ja Curry Pasta;6.3252
akordionKapa;;;
Kasvis Couscous;0;;
;1;ince bulgur;5.6202
;2;Karışık Paprika (küp);1.4025
;3;limon suyu;5591.0
;4;Sambal oelek;4759.0
;5;maydanoz;680.0
;6;d. Maydanoz;2108.0
;7;d. Soğan;2796.0
;8;yağ;2796.0
;9;domates salçası;2796.0
;10;meksika baharat;1403.0
;11;kurutulmuş kırmızı biber;280.0
;;Toplam Kasvis Couscous;9.3491
akordionKapa;;;
Kikherne Kana;0;;
;1;nohut;7.5611
;2;Karışık Paprika (küp);1.0575
;3;d. Soğan;1.0575
;4;tavuk küp;1.8
;5;maydanoz;990.0
;6;d. Maydanoz;2700.0
;7;limon suyu;3173.0
;8;yağ;1058.0
;9;sumak;529.0
;10;kurutulmuş kırmızı biber;529.0
;;Toplam Kikherne Kana;12.3863
akordionKapa;;;
Spelttihelmi;0;;
;1;inci arpa;4.2061
;2;Karışık Paprika (küp);1.0753
;3;kuru domates;1898.0
;4;yağ;5060.0
;5;sumak;1265.0
;6;maydanoz;598.0
;7;d. Maydanoz;1610.0
;;Toplam Spelttihelmi;6.3308
akordionKapa;;;
Tonnikala Kvinoa;0;;
;1;quinoa;3.36
;2;inci arpa;3.08
;3;barbunya konserve;1.344
;4;kırmızı soğan turşu;8400.0
;5;kuru domates;7840.0
;6;maydanoz;1400.0
;7;d. Maydanoz;4760.0
;8;limon suyu;2240.0
;;lime soft;0.0
;9;Vinaigrette citrus;1120.0
;;Toplam Tonnikala Kvinoa;10.3754
akordionKapa;;;
