urun;Sutun_3;Sutun_4;Sutun_5
;0;Toplam 1;520.0
;3;jasmin pirinç;680.0
;4;e202;0.0
;5;e211;0.0
;;Toplam 2;681.0
;2;meksika baharat;0.0
;;Toplam 1;0.0
;3;jasmin pirinç;0.0
;0;Toplam 2;596.0
;;Toplam Keftedes;1197.0
;3;yağ;0.0
;4;sesame yağ;0.0
;5;kala kastike;0.0
;6;d. soya fasulyesi;0.0
;7;e202;0.0
;8;e211;0.0
;0;domates sosu;55.0
;11;yağ;22.0
;12;sarımsak püresi;6.0
;13;limon suyu;6.0
;14;tuz;3.0
;15;karabiber;1.0
;16;Zerdecal;1.0
;17;e202;0.0
;18;e211;0.0
;;Toplam 2;599.0
;;Toplam Paella;1201.0
Pasta Bolognese;1;makarna;0.0
;2;Dana Kıyma;0.0
;3;domates sosu yemek;0.0
;4;e202;0.0
;5;e211;0.0
;;Toplam 1;0.0
;;Toplam Pasta Bolognese;0.0
;3;d. Soğan;0.0
;4;d. Maydanoz;0.0
;5;domates sosu yemek;0.0
