urun;Sutun_3;Sutun_4;Sutun_5
Döner;4;;
;1;et döner;320.0
;2;Görans Kebab sosu;200.0
;;Toplam 1;520.0
;3;jasmin pirinç;680.0
;;Toplam 2;681.0
;;Toplam Döner;1201.0
akordionKapa;;;
Keftedes;3;;
;1;jasmin pirinç;600.0
;;Toplam 1;601.0
;4;et köfte;320.0
;5;domates sosu yemek;276.0
;;Toplam 2;596.0
;;Toplam Keftedes;1197.0
akordionKapa;;;
Paella;4;;
;1;jasmin pirinç;602.0
;;Toplam 1;602.0
;2;midye;83.0
;3;karides;83.0
;4;tavuk küp;110.0
;5;d. bezelye;55.0
;6;d. havuç;55.0
;7;d. Soğan;55.0
;8;d. Paprika;55.0
;9;d. Maydanoz;8.0
;10;domates sosu;55.0
;11;yağ;22.0
;12;sarımsak püresi;6.0
;13;limon suyu;6.0
;14;tuz;3.0
;15;karabiber;1.0
;16;Zerdecal;1.0
;;Toplam 2;599.0
;;Toplam Paella;1201.0
akordionKapa;;;
