urun;Sutun_3;Sutun_4;Sutun_5
Caesar;;;
;1;Sezar sos;7,620
;2;tavuk şerit;10,160
;;Toplam 1;17,780
;x;Iceberg;8,382
;;lahana;5,080
;;Toplam 2;13,462
;x;Tortilla grill;23,368
;;Toplam 3;23,368
;;Toplam Caesar;54,610
akordionKapa;;;
Döner;;;
;1;et döner;3,185
;2;Görans Kebab sosu;1,820
;3;yoğurt;1,159
;4;mayonez;580
;5;dereotu;46
;6;tuz;12
;7;yağ;23
;;Toplam 1;6,825
;x;Iceberg;3,003
;;lahana;1,820
;;Toplam 2;4,823
;x;Tortilla grill;8,372
;;Toplam 3;8,372
;;Toplam Döner;20,020
akordionKapa;;;
Kana Pesto;;;
;1;yeşil pesto;1,120
;2;tavuk şerit;2,240
;;Toplam 1;3,360
;x;Iceberg;1,848
;;lahana;1,120
;;Toplam 2;2,968
;x;Tortilla grill;5,152
;;Toplam 3;5,152
;;Toplam Kana Pesto;11,480
akordionKapa;;;
Kasviscouscous;;;
;1;kasviscouscous;2,310
;;Toplam 1;2,310
;x;Iceberg;1,188
;;lahana;726
;;Toplam 2;1,914
;x;Tortilla grill;3,036
;;Toplam 3;3,036
;;Toplam Kasviscouscous;7,260
akordionKapa;;;
Mexico Chicken;;;
;1;meksika baharat;915
;2;tavuk şerit;7,320
;3;mayonez;5,124
;4;yağ;366
;;Toplam 1;13,725
;x;Iceberg;6,039
;;lahana;3,660
;;Toplam 2;9,699
;x;Tortilla grill;16,836
;;Toplam 3;16,836
;;Toplam Mexico Chicken;40,260
akordionKapa;;;
Savu Lohi;;;
;1;dereotu;93
;2;somon balığı kıyma;4,235
;3;mayonez;4,748
;;Toplam 1;9,075
;x;Iceberg;3,993
;;lahana;2,420
;;Toplam 2;6,413
;x;Tortilla grill;11,132
;;Toplam 3;11,132
;;Toplam Savu Lohi;26,620
akordionKapa;;;
Tandoori;;;
;1;tandoori baharat;396
;2;bal;297
;3;mayonez;2,772
;4;tavuk şerit;3,960
;;Toplam 1;7,425
;x;Iceberg;3,267
;;lahana;1,980
;;Toplam 2;5,247
;x;Tortilla grill;9,108
;;Toplam 3;9,108
;;Toplam Tandoori;21,780
akordionKapa;;;
Tonnikala;;;
;1;aioli;3,660
;2;Ton Balığı;4,880
;;Toplam 1;8,540
;x;Iceberg;4,026
;;lahana;2,440
;;Toplam 2;6,466
;x;Tortilla grill;11,224
;;Toplam 3;11,224
;;Toplam Tonnikala;26,230
akordionKapa;;;
Voner;;;
;1;chili humus;3,840
;2;vöner;5,120
;;Toplam 1;8,960
;x;Iceberg;4,864
;;lahana;2,560
;;Toplam 2;7,424
;x;Tortilla grill;11,776
;;Toplam 3;11,776
;;Toplam Voner;28,160
akordionKapa;;;
Kanagyros;;;
;1;cacık;3,480
;2;gyros;3,480
;3;d. Soğan;2,001
;;Toplam 1;8,961
;x;Iceberg;1,305
;;lahana;870
;;Toplam 2;2,175
;x;Tortilla grill;8,004
;;Toplam 3;8,004
;;Toplam Kanagyros;19,140
akordionKapa;;;
