urun;Sutun_3;Sutun_4;Sutun_5
Caesar;1;;
;1;Sezar sos;30.0
;2;tavuk şerit;40.0
;;Toplam 1;70.0
;x;Iceberg;33.0
;;lahana;20.0
;;Toplam 2;53.0
;x;Tortilla grill;92.0
;;Toplam 3;92.0
;;Toplam Caesar;215.0
akordionKapa;;;
Kana Pesto;1;;
;1;yeşil pesto;20.0
;2;tavuk şerit;40.0
;;Toplam 1;60.0
;x;Iceberg;33.0
;;lahana;20.0
;;Toplam 2;53.0
;x;Tortilla grill;92.0
;;Toplam 3;92.0
;;Toplam Kana Pesto;205.0
akordionKapa;;;
Mexico Chicken;1;;
;1;meksika baharat;5.0
;2;tavuk şerit;40.0
;3;mayonez;28.0
;4;yağ;2.0
;;Toplam 1;75.0
;x;Iceberg;33.0
;;lahana;20.0
;;Toplam 2;53.0
;x;Tortilla grill;92.0
;;Toplam 3;92.0
;;Toplam Mexico Chicken;220.0
akordionKapa;;;
Tandoori;1;;
;1;tandoori baharat;4.0
;2;bal;3.0
;3;mayonez;28.0
;4;tavuk şerit;40.0
;;Toplam 1;75.0
;x;Iceberg;33.0
;;lahana;20.0
;;Toplam 2;53.0
;x;Tortilla grill;92.0
;;Toplam 3;92.0
;;Toplam Tandoori;220.0
akordionKapa;;;
Voner;1;;
;1;chili humus;30.0
;2;vöner;40.0
;;Toplam 1;70.0
;x;Iceberg;38.0
;;lahana;20.0
;;Toplam 2;58.0
;x;Tortilla grill;92.0
;;Toplam 3;92.0
;;Toplam Voner;220.0
akordionKapa;;;
