urun;Sutun_3;Sutun_4;Sutun_5
Curry Pasta;1;;
;1;makarna;140.0
;2;köri sosu;50.0
;3;tavuk küp;45.0
;4;d. havuç;22.0
;5;d. mısır;17.0
;6;d. bezelye;17.0
;7;yağ;8.0
;8;tuz;1.0
;;Toplam 1;300.0
;;Toplam Curry Pasta;300.0
akordionKapa;;;
Kana Kebab;1;;
;1;tavuk döner;95.0
;2;meksika baharat;5.0
;;Toplam 1;100.0
;3;jasmin pirinç;200.0
;;Toplam 2;200.0
;;Toplam Kana Kebab;300.0
akordionKapa;;;
Korean Kana;1;;
;1;jasmin pirinç;152.0
;2;kişniş taze;7.0
;3;yağ;6.0
;4;sesame yağ;2.0
;5;kala kastike;2.0
;6;d. soya fasulyesi;30.0
;;Toplam 1;200.0
;9;tavuk şerit;88.0
;10;teriyaki sos;6.0
;11;siyah susam;4.0
;12;sesame yağ;2.0
;;Toplam 2;100.0
;;Toplam Korean Kana;300.0
akordionKapa;;;
Pasta Bolognese;1;;
;1;makarna;150.0
;2;Dana Kıyma;50.0
;3;domates sosu yemek;99.0
;;Toplam 1;299.0
;;Toplam Pasta Bolognese;299.0
akordionKapa;;;
