urun;Sutun_3;Sutun_4;Sutun_5
Curry Pasta;;;
;1;makarna;1,400
;2;köri sosu;500
;3;tavuk küp;450
;4;d. havuç;220
;5;d. mısır;170
;6;d. bezelye;170
;7;yağ;78
;8;tuz;10
;9;e202;1
;10;e211;1
;;Toplam 1;3,000
;;Toplam Curry Pasta;3,000
akordionKapa;;;
Döner;;;
;1;et döner;0
;2;Görans Kebab sosu;0
;;Toplam 1;0
;3;jasmin pirinç;0
;4;e202;0
;5;e211;0
;;Toplam 2;0
;;Toplam Döner;0
akordionKapa;;;
Kana Kebab;;;
;1;tavuk döner;0
;2;meksika baharat;0
;;Toplam 1;0
;3;jasmin pirinç;0
;4;e202;0
;5;e211;0
;;Toplam 2;0
;;Toplam Kana Kebab;0
akordionKapa;;;
Keftedes;;;
;1;jasmin pirinç;1,500
;2;e202;1
;3;e211;1
;;Toplam 1;1,502
;4;et köfte;800
;5;domates sosu yemek;690
;;Toplam 2;1,490
;;Toplam Keftedes;2,992
akordionKapa;;;
Korean Kana;;;
;1;jasmin pirinç;1,516
;2;kişniş taze;73
;3;yağ;59
;4;sesame yağ;24
;5;kala kastike;24
;6;d. soya fasulyesi;304
;7;e202;1
;8;e211;1
;;Toplam 1;2,001
;9;tavuk şerit;881
;10;teriyaki sos;62
;11;siyah susam;35
;12;sesame yağ;22
;;Toplam 2;1,000
;;Toplam Korean Kana;3,001
akordionKapa;;;
Paella;;;
;1;jasmin pirinç;1,505
;;Toplam 1;1,505
;2;midye;207
;3;karides;207
;4;tavuk küp;276
;5;d. bezelye;138
;6;d. havuç;138
;7;d. Soğan;138
;8;d. Paprika;138
;9;d. Maydanoz;21
;10;domates sosu;138
;11;yağ;55
;12;sarımsak püresi;14
;13;limon suyu;14
;14;tuz;7
;15;karabiber;1
;16;Zerdecal;3
;17;e202;1
;18;e211;1
;;Toplam 2;1,497
;;Toplam Paella;3,002
akordionKapa;;;
Pasta Bolognese;;;
;1;makarna;0
;2;Dana Kıyma;0
;3;domates sosu yemek;0
;4;e202;0
;5;e211;0
;;Toplam 1;0
;;Toplam Pasta Bolognese;0
akordionKapa;;;
Stifado;;;
;1;fin et;450
;2;taze küp patates;550
;3;d. Soğan;203
;4;d. Maydanoz;17
;5;domates sosu yemek;163
;6;yağ;46
;7;domates salçası;20
;8;Balsamik Sirke;33
;9;şeker;4
;10;sarımsak püresi;6
;11;Yenibahar;3
;12;biberiye;3
;13;tarçın;1
;14;kimyon;2
;;Toplam 1;1,500
;15;jasmin pirinç;1,500
;16;e202;0
;17;e211;0
;;Toplam 2;1,500
;;Toplam Stifado;3,000
akordionKapa;;;
